neighbourhood_n,number_of_reviews,minimum_nights,availability_365,room_type_n,Survived
0,62,3,189,1,89
44,0,21,73,0,30
7,17,2,0,0,120
43,5,2,272,1,470
4,30,2,30,1,199
12,141,1,28,1,170
12,1,5,0,0,90
118,0,30,121,1,60
27,89,2,55,1,150
173,37,2,70,1,74
83,4,1,354,2,28
126,0,2,365,0,200
19,12,3,4,1,230
3,2,1,0,0,48
13,5,14,0,1,100
68,1,3,0,0,100
6,4,30,133,1,115
27,1,1,0,0,94
20,6,1,6,1,124
8,0,1,0,1,235
182,28,2,84,0,40
2,1,1,0,1,115
12,87,1,272,1,250
11,11,7,0,1,145
23,0,3,0,1,200
77,0,30,38,1,312
72,0,3,162,0,53
76,15,1,180,2,79
12,33,1,19,0,60
2,2,30,246,0,40
19,5,2,0,0,70
106,67,1,344,1,300
20,3,30,336,1,129
19,159,1,84,0,75
29,9,2,0,1,124
12,6,2,0,0,80
30,11,5,22,1,100
7,0,31,250,0,63
23,11,1,0,1,99
67,0,10,0,2,28
4,16,3,0,1,95
2,34,2,75,1,175
21,2,35,365,0,55
8,4,30,363,1,190
2,226,1,32,0,100
64,9,1,0,1,250
23,20,5,0,0,77
43,16,5,298,1,500
2,5,1,0,1,100
1,107,2,49,0,160
15,0,30,0,1,90
7,2,4,0,1,130
16,184,1,0,0,139
7,6,3,225,0,70
7,63,1,357,1,225
71,3,2,0,0,150
21,7,2,4,1,98
34,70,3,99,1,125
25,1,7,34,0,130
21,40,4,38,1,145
126,0,30,352,0,39
21,17,1,0,0,47
37,0,4,365,1,450
2,3,3,178,0,80
22,3,4,0,0,50
14,2,1,0,1,300
56,70,4,173,0,46
123,58,1,88,0,99
15,128,3,342,1,98
123,11,1,333,1,145
6,39,2,99,0,38
3,1,5,0,1,125
76,4,2,0,0,125
103,29,1,360,1,150
21,6,3,0,0,55
23,2,1,0,1,225
16,16,5,11,1,160
19,30,3,248,1,195
63,9,3,0,1,278
37,85,1,151,1,188
16,7,6,42,1,600
6,53,1,264,0,70
44,0,7,89,0,20
11,6,3,0,1,150
28,9,21,0,1,155
36,5,2,43,1,170
20,2,1,0,1,100
49,2,4,26,1,100
14,1,1,0,0,125
2,2,1,332,0,87
15,123,2,332,0,52
4,4,3,7,1,240
2,17,1,75,1,102
30,88,1,0,0,70
6,80,3,269,1,125
100,172,2,155,1,125
8,2,1,0,1,220
2,71,2,0,0,55
68,132,4,267,0,120
39,1,1,321,1,179
3,6,4,156,0,59
79,25,4,0,1,100
6,1,10,246,0,50
24,0,1,0,0,60
1,4,28,147,1,295
25,9,1,357,0,89
21,2,4,363,0,70
6,1,1,342,1,282
21,0,2,359,1,160
19,3,3,0,0,100
21,155,1,170,0,60
63,0,27,0,1,50
31,11,2,10,0,80
13,152,1,249,0,70
98,321,1,44,0,53
12,0,1,0,0,100
2,0,1,0,1,165
99,68,2,156,0,45
6,55,2,0,0,75
12,1,30,160,1,150
82,1,1,364,2,30
54,5,1,361,1,90
63,1,1,249,0,37
43,0,29,347,1,137
61,85,5,332,1,75
21,57,2,18,0,50
12,3,4,25,0,60
2,12,2,0,0,50
82,2,2,0,1,99
12,0,3,358,0,75
7,0,1,0,0,89
75,4,5,312,1,150
28,0,3,0,1,150
8,31,5,166,1,350
2,2,7,0,0,38
1,0,1,361,0,475
49,1,7,0,1,150
6,6,7,0,0,42
6,1,20,0,0,35
21,26,3,3,1,90
21,9,1,179,0,50
35,3,4,364,0,130
12,53,2,2,1,250
2,5,30,151,0,50
7,23,1,0,0,95
87,9,30,342,1,275
6,1,4,0,0,88
2,93,2,129,0,115
19,11,4,0,0,140
7,0,3,0,1,525
2,16,3,0,1,100
8,76,7,151,1,121
43,1,29,290,1,175
43,0,9,15,1,200
37,0,1,0,0,35
12,0,1,0,1,250
20,0,4,0,1,137
6,8,11,189,1,120
27,0,1,353,0,100
64,81,28,122,1,269
6,0,1,0,0,75
23,0,15,185,0,71
97,5,5,166,0,69
34,4,1,59,0,95
63,25,1,361,0,83
7,7,30,311,1,130
20,8,3,0,1,165
21,9,5,0,1,130
23,14,1,0,0,65
30,0,2,0,1,88
8,1,3,0,0,38
75,1,1,0,1,110
20,13,5,241,0,152
14,1,2,0,1,150
56,6,1,31,0,65
77,0,5,73,1,380
71,0,30,206,1,276
8,2,1,0,0,65
55,36,1,171,1,199
20,8,3,27,0,150
15,1,5,0,1,125
12,10,2,0,0,69
1,34,3,0,1,339
6,50,1,335,1,150
70,154,1,311,1,86
70,22,2,48,1,160
28,2,5,342,0,105
20,103,2,126,0,67
10,4,2,0,0,109
12,0,1,0,0,80
29,8,2,0,1,149
5,9,2,133,1,244
7,112,2,11,1,70
152,88,1,253,1,89
19,0,2,0,1,250
12,0,2,0,0,110
2,0,2,0,1,82
117,0,2,89,1,88
90,27,1,276,1,175
9,18,2,0,0,115
6,6,2,0,0,36
12,0,1,0,0,50
197,13,1,0,1,150
1,0,28,251,1,675
110,25,1,72,1,100
13,4,2,0,1,85
21,6,2,358,0,90
2,1,2,34,0,57
28,23,2,2,1,180
12,0,1,0,0,90
2,14,3,0,1,200
12,2,1,0,0,70
79,4,1,250,0,40
43,6,2,328,0,262
71,0,29,220,1,699
6,0,1,0,0,100
12,5,4,0,1,175
27,12,30,342,1,145
7,31,12,102,0,61
38,0,4,0,1,150
15,7,30,302,0,31
51,3,2,0,0,79
25,0,2,5,1,69
28,29,1,339,1,199
31,0,30,246,0,47
20,86,4,350,0,46
27,6,3,0,1,180
17,2,3,0,1,350
14,5,6,0,1,180
126,0,2,307,0,49
30,2,1,0,0,40
36,2,30,156,1,350
53,3,5,42,0,70
12,46,1,16,0,90
21,61,25,0,0,49
54,6,27,94,0,45
70,20,1,62,0,50
26,8,1,0,2,65
81,2,60,132,1,100
2,12,2,0,1,150
12,0,10,91,0,150
21,56,2,314,1,120
10,5,1,0,1,120
22,0,60,0,0,35
12,5,1,4,0,47
2,1,3,0,0,65
26,0,2,0,1,1550
15,1,2,0,0,45
111,0,30,251,0,30
21,2,1,0,0,60
56,1,1,0,1,70
6,32,2,37,0,65
44,5,1,0,1,70
33,20,2,154,0,80
4,3,3,128,1,130
6,62,5,12,0,50
0,19,3,85,0,95
1,0,28,257,1,714
6,2,3,38,0,95
9,1,1,0,0,88
141,7,10,327,1,120
19,12,7,9,1,129
103,222,1,164,0,45
87,175,2,349,0,70
1,2,5,0,1,250
14,45,115,210,1,96
12,24,2,0,0,90
26,23,1,55,0,94
206,1,7,188,0,30
2,203,1,162,0,89
2,0,2,0,0,70
38,2,30,82,1,220
25,37,29,305,0,100
121,9,3,3,1,114
21,1,1,88,0,65
6,10,1,4,1,102
4,9,10,0,1,80
8,0,30,356,0,60
1,4,4,157,1,325
19,48,2,135,1,220
71,1,1,351,0,100
4,75,2,59,0,145
7,21,1,0,1,150
45,5,14,79,1,120
2,163,3,0,0,52
17,0,3,335,1,300
21,0,1,0,0,50
12,61,1,11,1,145
23,4,30,281,1,170
49,6,3,43,0,60
0,58,1,16,0,56
2,41,1,8,1,122
19,44,2,0,1,160
56,25,3,0,1,85
1,37,4,155,0,135
37,31,2,282,0,55
85,74,2,174,0,65
6,102,1,237,0,50
1,0,30,342,1,180
17,1,5,0,1,78
6,10,2,311,2,45
30,0,1,79,1,150
2,61,3,7,2,25
2,11,2,90,0,100
8,3,30,317,0,70
33,2,5,0,1,130
20,0,2,0,1,250
2,1,1,256,0,99
2,9,2,25,1,344
126,61,2,32,1,80
13,36,10,328,1,165
6,30,4,286,0,45
13,4,3,0,1,160
4,0,13,0,0,50
21,2,7,89,0,31
